subor,cas_s,klauzuly
Test_i_1.in,0.106008,90
Test_i_2.in,0.110603,220
Test_i_3.in,0.104037,410
Test_i_4.in,0.11045,660
Test_i_5.in,0.110048,970
Test_i_6.in,0.126116,1340
Test_i_7.in,0.141276,1770
Test_i_8.in,0.16811,2260
Test_i_9.in,0.193612,2810
Test_i_10.in,0.283342,3420
Test_i_11.in,0.291888,4090
Test_i_12.in,0.341013,4820
Test_i_13.in,0.564157,5610
Test_i_14.in,0.511874,6460
Test_i_15.in,0.78719,7370
Test_i_16.in,0.467823,8340
Test_i_17.in,0.76011,9370
Test_i_18.in,0.934034,10460
Test_i_19.in,1.451321,11610
Test_i_20.in,1.318688,12820
Test_i_21.in,1.315082,14090
Test_i_22.in,2.098812,15420
Test_i_23.in,2.175663,16810
Test_i_24.in,2.292136,18260
Test_i_25.in,3.10619,19770
Test_i_26.in,3.682475,21340
Test_i_27.in,5.017269,22970
Test_i_28.in,3.724856,24660
Test_i_29.in,4.093175,26410
Test_i_30.in,5.541427,28220
Test_i_31.in,4.557768,30090
Test_i_32.in,5.073209,32020
Test_i_33.in,6.204981,34010
Test_i_34.in,7.282316,36060
Test_i_35.in,6.058683,38170
Test_i_36.in,8.460782,40340
Test_i_37.in,8.30416,42570
Test_i_38.in,11.890351,44860
Test_i_39.in,9.494163,47210
Test_i_40.in,11.364804,49620
Test_i_41.in,14.78858,52090
Test_i_42.in,14.546006,54620
Test_i_43.in,11.862199,57210
Test_i_44.in,13.912449,59860
Test_i_45.in,14.090424,62570
Test_i_46.in,17.989715,65340
Test_i_47.in,14.99705,68170
Test_i_48.in,14.828342,71060
Test_i_49.in,14.709819,74010
Test_i_50.in,16.296278,77020
